3298,107,130,104
3209,107,108,108
3127,107,154,103
3046,124,130,24
2991,105,131,101
2927,123,111,115
3244,93,128,99
3392,117,140,103
3288,91,126,0
3389,108,138,101
3376,106,129,101
3384,97,129,100
3380,113,116,102
3401,100,128,100
3386,103,129,100
3371,98,148,91
3374,90,129,106
3386,119,120,123
3381,110,129,98
3388,116,114,103
3383,151,129,99
3386,107,128,92
3370,97,128,104
3391,101,138,78
3388,106,134,103
3397,133,135,92
3396,107,118,128
3429,52,128,100
3387,109,129,101
3389,131,125,103
3388,87,125,111
3296,112,131,96
3384,103,123,62
3375,109,126,103
3360,111,125,107
3381,112,128,100
3378,102,129,100
3387,231,129,102
3377,83,137,99
3365,109,128,86
3391,108,129,100
3381,92,96,99
3400,109,129,109
3393,106,119,104
3365,109,143,101
3376,111,128,37
3388,108,128,112
3385,108,128,98
3352,109,120,102
3378,110,145,91
3372,113,88,90
3376,122,128,98
3379,129,134,99
3380,86,132,98
3416,109,126,103
3344,92,128,49
3374,112,152,90
3405,108,125,99
3386,100,78,113
3393,106,22,92
3398,109,129,136
3397,111,126,116
3396,112,130,114
3414,109,128,131
3383,102,140,45
3375,96,135,146
3387,112,128,137
3379,109,156,140
3375,119,129,156
3380,111,130,140
3375,98,128,137
3379,99,136,123
3376,111,155,130
3383,112,125,133
3380,94,121,150
3384,104,126,139
3390,101,126,213
3398,189,128,133
3383,109,128,117
3394,111,136,116
3390,121,156,131
3369,136,128,53
3377,103,129,131
3379,110,155,128
3394,117,128,128
3377,112,140,129
3377,104,129,125
3384,120,130,135
3379,114,144,116
3379,119,129,125
3394,103,153,124
3383,109,140,138
3381,132,126,118
3306,105,136,154
3396,94,125,159
3401,102,130,139
3383,118,8,101
3395,97,130,158
3381,111,132,154
3381,107,128,159
3385,122,132,138
3368,118,144,150
3400,116,128,157
3469,123,116,209
3382,136,126,165
3362,112,131,152
3379,108,123,161
3377,179,149,154
3378,124,118,157
3358,112,118,157
3378,112,151,148
3393,115,128,148
3410,108,124,157
3393,104,138,151
3389,87,134,142
3393,109,134,150
3390,179,129,147
3378,109,130,131
3356,117,139,144
3385,109,124,156
3373,120,98,150
3379,86,129,150
3381,111,102,144
3413,111,110,145
3370,109,119,145
3376,108,131,137
3300,122,128,130
3388,113,129,146
3381,118,150,128
3405,116,129,127
3281,107,129,115
3395,111,134,125
3396,190,129,131
3379,85,140,117
3379,113,122,133
3382,99,120,125
3354,109,148,128
3380,103,136,33
3381,111,155,126
3383,91,128,125
3384,76,129,122
3377,114,136,128
3379,84,130,122
3371,128,113,124
3368,110,156,120
3387,110,121,122
3392,120,128,118
3379,131,128,118
3403,97,132,122
3403,167,119,122
3377,102,132,121
3388,110,121,110
3387,113,130,112
3383,101,135,24
3383,100,146,118
3413,112,130,100
3381,112,129,118
3288,122,128,118
3394,107,128,116
3373,129,132,40
3370,96,142,113
3379,102,116,126
3407,96,125,118
3392,117,131,114
3431,90,147,116
3398,110,126,118
3381,96,128,113
3395,109,140,108
3375,91,98,115
3384,110,136,116
3376,103,139,109
3421,135,118,112
3367,106,125,121
3351,114,128,114
3371,108,128,139
3371,112,121,148
3367,100,128,150
3370,109,128,126
3386,111,128,141
3364,120,129,144
3380,91,126,163
3393,90,145,144
3394,131,122,154
3405,110,35,155
3391,106,130,148
3389,108,126,151
3381,182,129,144
3382,98,144,143
3356,130,130,142
3357,103,168,141
3386,114,130,128
3385,91,128,198
3376,111,144,136
3380,59,130,138
3357,106,142,138
3386,116,131,136
3377,120,126,138
3406,105,128,132
3392,91,126,140
3403,110,125,146
3392,84,135,141
3394,109,132,168
3403,108,55,184
3392,168,128,171
3388,178,129,172
3385,112,118,187
